country,protected_area_name,wdpa_name,region_id,plan_year,title_en,title_es,url
Peru ,Santuario Nacional de Calipuy,de Calipuy,4c99d72c-4442-4838-a845-0cdaab2434aa,Plan Maestro 2015 - 2019,Management Plan for de Calipuy National Sanctuary,Plan Maestro del Santuario Nacional de Calipuy  ,http://sinia.minam.gob.pe/documentos/plan-maestro-santuario-nacional-calipuy-periodo-2015-2019
Peru ,Parque Nacional Cerros de Amotape,Cerros de Amotape,d8eee706-576a-4ef7-93b0-8e69a0dd3e8b,Plan Maestro 2012 - 2017,Management Plan for Cerros de Amotape National Park,Plan Maestro del Parque Nacional Cerros de Amotape  ,http://sis.sernanp.gob.pe/biblioteca/?publicacion=378
Peru ,Reserva Comunal Chayu Nain,Chayu Naín,b817d891-0509-4be8-bc96-3fe79fa560c8,Plan Maestro 2016 - 2020,Management Plan for Chayu Nain Communal Reserve,Plan Maestro de la Reserva Comunal Chayu Nain  ,http://sis.sernanp.gob.pe/biblioteca/?publicacion=1758
Peru ,Parque Nacional Cordillera Azul,Cordillera Azul,9aace4cb-d871-4e80-8761-6f6a9982104b,Plan Maestro 2017 - 2021,Management Plan for Cordillera Azul National Park,Plan Maestro del Parque Nacional Cordillera Azul  ,http://sis.sernanp.gob.pe/biblioteca/?publicacion=1505
Peru ,Santuario Nacional Cordillera de Colán,Cordillera de Colán,bcecc0ed-78cc-4d57-b93a-f7907b757057,Plan Maestro 2016 - 2020,Management Plan for Cordillera de Colán National Sanctuary,Plan Maestro del Santuario Nacional Cordillera de Colán  ,http://sis.sernanp.gob.pe/biblioteca/?publicacion=1759
Peru ,Parque Nacional de Cutervo,Cutervo,b372cea8-aaed-48c7-982d-3220db462ab9,Plan Maestro 2017 - 2021,Management Plan for Cutervo National Park,Plan Maestro del Parque Nacional de Cutervo  ,http://sis.sernanp.gob.pe/biblioteca/?publicacion=1761
Peru ,Bosque de Protección de Paigabamba,de Pagaibamba,c77b1717-9bcd-4062-90c1-53f050a7d639,Plan Maestro 2017 - 2021,Management Plan for Paigabamba Protection Forest,Plan Maestro del Bosque de Protección de Paigabamba  ,http://sis.sernanp.gob.pe/biblioteca/?publicacion=1564
Peru ,Coto de Caza El Angolo,El Angolo,9653f0d4-2169-4951-bcc9-96e4a7f24683,Plan Maestro 2012 - 2017,Management Plan for El Angolo Hunting Preserve,Plan Maestro del Coto de Caza El Angolo  ,http://sis.sernanp.gob.pe/biblioteca/?publicacion=868
Peru ,Reserva Comunal El Sira,El Sira,209cfc91-56a2-4f8a-a278-657c298ea53e,Plan Maestro 2015 - 2019,Management Plan for El Sira Communal Reserve,Plan Maestro de la Reserva Comunal El Sira  ,http://sinia.minam.gob.pe/documentos/plan-maestro-reserva-comunal-sira-periodo-2015-2019
Peru ,Parque Nacional Güeppí-Sekime,Güeppí-Sekime,dc1b515e-4d80-4786-95ef-4b350a008adb,Plan Maestro 2014 - 2019,Management Plan for Güeppí-Sekime National Park,Plan Maestro del Parque Nacional Güeppí-Sekime  ,http://sinia.minam.gob.pe/documentos/plan-maestro-parque-nacional-gueppi-sekime-2014-2019
Peru ,Parque Nacional Huascarán,Huascarán,615ad39a-ba70-4973-b0dd-bd763fa208bf,Plan Maestro 2017 - 2021,Management Plan for Huascarán National Park,Plan Maestro del Parque Nacional Huascarán  ,http://sis.sernanp.gob.pe/biblioteca/?publicacion=1519
Peru ,Parque Nacional Ichigkat Muja-Cordillera del Cóndor,Ichigkat Muja - Cordillera del Cóndor,34ad3fc3-5a13-4a4d-8f0a-21acade4b896,Plan Maestro 2011 - 2016,Management Plan for Ichigkat Muja-Cordillera del Cóndor,Plan Maestro del Parque Nacional Ichigkat Muja-Cordillera del Cóndor  ,http://sis.sernanp.gob.pe/biblioteca/?publicacion=368
Peru ,Santuario Histórico de la Pampa de Ayacucho ,De la Pampa de Ayacucho,85b3ed89-fd1c-4227-8c65-cff9c096b3ac,Plan Maestro 2016 - 2020,Management Plan for de la Pampa de Ayacucho Historic Sanctuary,Plan Maestro del Santuario Histórico de la Pampa de Ayacucho  ,http://sis.sernanp.gob.pe/biblioteca/?publicacion=955
Peru ,Reserva Nacional de Lachay,de Lachay,b51de16c-d7ad-4ee1-be69-909eff2860a7,Plan Maestro 2013 - 2018,Management Plan for Lachay National Reserve,Plan Maestro de la Reserva Nacional de Lachay  ,http://sis.sernanp.gob.pe/biblioteca/?publicacion=896
Peru ,Santuario Nacional Lagunas de Mejía,Lagunas de Mejía,f6ccc7c8-4851-4313-9555-c7f69471ea49,Plan Maestro 2015 - 2019,Management Plan for Lagunas de Mejía National Sanctuary,Plan Maestro del Santuario Nacional Lagunas de Mejía  ,http://sis.sernanp.gob.pe/biblioteca/?publicacion=721
Peru ,Refugio de Vida Silvestre Laquipampa,Laquipampa,71e7ede1-ed8c-41b8-b7dd-130f0c66c023,Plan Maestro 2015 - 2019,Management Plan for Laquipampa Wildlife Refuge ,Plan Maestro del Refugio de Vida Silvestre Laquipampa  ,http://sinia.minam.gob.pe/normas/conformidad-propuesta-plan-maestro-refugio-vida-silvestre-laquipampa
Peru ,Santuario Nacional los Manglares de Tumbes,los Manglares de Tumbes,f3411150-676f-40a2-8c66-c7699e4e1e2a,Plan Maestro 2017 - 2021,Management Plan for los Manglares de Tumbes National Sanctuary,Plan Maestro del Santuario Nacional los Manglares de Tumbes  ,http://sis.sernanp.gob.pe/biblioteca/?publicacion=1520
Peru ,Refugio de Vida Silvestre Los Pantanos de Villa,Los Pantanos de Villa,592f8776-6b8d-48c7-80ef-be31490422af,Plan Maestro 2016 - 2020,Management Plan for Los Pantanos de Villa Wildlife Refuge,Plan Maestro del Refugio de Vida Silvestre Los Pantanos de Villa  ,http://sis.sernanp.gob.pe/biblioteca/?publicacion=1136
Peru ,Reserva Comunal Machigenga,Machiguenga,ccc4c107-37be-46bf-9bac-d9232a423f69,Plan Maestro 2017 - 2021,Management Plan for Machigenga Communal Reserve,Plan Maestro de la Reserva Comunal Machigenga  ,http://sis.sernanp.gob.pe/biblioteca/?publicacion=1517
Peru ,Santuario Histórico de Machupicchu ,Machupicchu,28185dc9-85cb-4c0c-951f-06f8c9a6d39f,Plan Maestro 2015 - 2019,Management Plan for de Machupicchu Historic Sanctuary,Plan Maestro del Santuario Histórico de Machupicchu   ,http://sinia.minam.gob.pe/documentos/plan-maestro-santuario-historico-machupicchu-periodo-2015-2019
Peru ,Parque Nacional del Manu,Manu,7b792815-b12a-40c7-b3bc-b36ed3f7b745,Plan Maestro 2013 - 2018,Management Plan for Manu National Park,Plan Maestro del Parque Nacional del Manu  ,http://sinia.minam.gob.pe/documentos/plan-maestro-parque-nacional-manu-periodo-2013-2018
Peru ,Reserva Nacional Matsés,Matsés,052c77aa-f783-4703-bfcd-1b1f90efc111,Plan Maestro 2014 - 2019,Management Plan for Matsés National Reserve,Plan Maestro de la Reserva Nacional Matsés  ,http://sis.sernanp.gob.pe/biblioteca/?publicacion=852
Peru ,Santuario Nacional Megantoni,Megantoni,fe028729-5daa-4282-9241-6901b2b5a697,Plan Maestro 2016 - 2020,Management Plan for Megantoni National Sanctuary,Plan Maestro del Santuario Nacional Megantoni  ,http://sis.sernanp.gob.pe/biblioteca/?publicacion=1182
Peru ,Reserva Paisajística Nor Yauyos-Cochas,Nor Yauyos-Cochas,cf10253b-4353-4f93-a0a7-0c4d734c406b,Plan Maestro 2016 -  2020,Management Plan for Nor-Yauyos Cochas Landscape Reserve,Plan Maestro de la Reserva Paisajística Nor Yauyos-Cochas  ,http://sis.sernanp.gob.pe/biblioteca/?publicacion=1184
Peru ,Parque Nacional Otishi,Otishi,144a0602-2b19-477a-95d4-865c3c0f9f1a,Plan Maestro 2016 - 2020,Management Plan for Otishi National Park,Plan Maestro del Parque Nacional Otishi  ,http://sis.sernanp.gob.pe/biblioteca/?publicacion=1367
Peru ,Reserva Nacional Pacaya-Samiria,Pacaya Samiria,e23216f2-e8fc-47bf-a4b5-a5e56230b500,Plan Maestro 2017 - 2021,Management Plan for Pacaya-Samiria National Reserve,Plan Maestro de la Reserva Nacional Pacaya-Samiria  ,http://sis.sernanp.gob.pe/biblioteca/?publicacion=1717
Peru ,Reserva Nacional Pampa Galeras Bárbara D'Achille ,Pampa Galeras Barbara D´ Achille,22ac8ea2-b79c-47e3-bec5-9720830a6617,Plan Maestro 2014 - 2019,Management Plan for Pampa Galeras Bárbara D'Achille National Reserve,Plan Maetsro de la Reserva Nacional Pampa Galeras Bárbara D'Achille  ,http://sinia.minam.gob.pe/documentos/plan-maestro-reserva-nacional-pama-galeleras-barbara-dachile-periodo
Peru ,Santuario Nacional Pampa Hermosa,Pampa Hermosa,5206d6b5-0c66-4451-96b9-f02906fded8a,Plan Maestro 2012 - 2017,Management Plan for Pampa Hermosa National Sanctuary,Plan Maestro del Santuario Nacional Pampa Hermosa  ,http://sinia.minam.gob.pe/documentos/plan-maestro-santuario-nacional-pampa-hermosa-periodo-2012-2017
Peru ,Reserva Nacional de Paracas,Paracas,bce2c4f6-90e9-4750-9e8a-fdf4d2f700cb,Plan Maestro 2016 - 2020,Management Plan for de Paracas National Reserve,Plan Maestro de la Reserva Nacional de Paracas  ,http://sis.sernanp.gob.pe/biblioteca/?publicacion=968
Peru ,Reserva Nacional Pucacuro,Pucacuro,02d64653-12af-429c-9a5f-5c358c6c9c11,Plan Maestro 2013 - 2018,Management Plan for Pucacuro National Reserve,Plan Maestro de la Reserva Nacional Pucacuro  ,http://sis.sernanp.gob.pe/biblioteca/?publicacion=894
Peru ,Bosque de Protección Pui Pui,Pui Pui,c1ef02ea-afcd-470f-9b7c-44ffb4a20be5,Plan Maestro 2012 - 2017,Management Plan for Pui Pui Protection Forest,Plan Maestro del Bosque de Protección Pui Pui  ,http://sinia.minam.gob.pe/documentos/plan-maestro-bosque-proteccion-pui-pui-periodo-2012-2017
Peru ,Reserva Comunal Purús,Purus,64ed3b88-1c2a-46c8-86b9-0f58931c311e,Plan Maestro 2012 - 2017,Management Plan for Purús Communal Reserve,Plan de la Reserva Comunal Purús  ,http://sis.sernanp.gob.pe/biblioteca/?publicacion=880
Peru ,Parque Nacional del Río Abiseo,Río Abiseo,f5e3042c-4fe8-4194-a025-ee27be7f2911,Plan Maestro 2014 - 2019,Management Plan for Río Abiseo National Park,Plan Maestro del Parque Nacional del Río Abiseo  ,http://sis.sernanp.gob.pe/biblioteca/?publicacion=860
Peru ,Reserva Nacional de Salinas Aguada Blanca,de Salinas y Aguada Blanca,bd98166c-3d88-4d5b-b80b-a707f8cb8ac5,Plan Maestro 2016 - 2020,Management Plan for Salinas Aguada Blanca National Reserve,Plan Maestro de la Reserva Nacional de Salinas Aguada Blanca  ,http://sis.sernanp.gob.pe/biblioteca/?publicacion=1561
Peru ,Reserva Nacional San Fernando,San Fernando,1a2d2ab0-2f4c-4183-8c05-4fd3877cfb6d,Plan Maestro 2015 - 2019,Management Plan for San Fernando National Reserve,Plan Maestro de la Reserva Nacional San Fernando  ,http://sis.sernanp.gob.pe/biblioteca/?publicacion=898
Peru ,Bosque de Protección de San Matías-San Carlos,San Matias San Carlos,8edd84b3-4fe0-487d-b039-41fd070de0ae,Plan Maestro 2015 - 2019,Management Plan for San Matías-San Carlos Protection Forest,Plan Maestro del Bosque de Protección de San Matías-San Carlos  ,http://sis.sernanp.gob.pe/biblioteca/?publicacion=885
Peru ,Parque Nacional Sierra del Divisor,Sierra del Divisor,b9962364-de9a-4f23-bed0-76bcece09f43,Plan Maestro 2016 -  2020,Management Plan for Sierra del Divisor National Park,Plan Maestro del Parque Nacional Sierra del Divisor  ,http://sis.sernanp.gob.pe/biblioteca/?publicacion=1368
Peru ,Santuario Nacional Tabaconas-Namballe,Tabaconas Namballe,80dbc3d9-0bfe-4c4f-9abf-1d306fdafcbd,Plan Maestro 2015 - 2019,Management Plan for Tabaconas-Namballe National Sanctuary,Plan Maestro del Santuario Nacional Tabaconas-Namballe  ,http://sinia.minam.gob.pe/documentos/plan-maestro-santuario-nacional-tabaconas-namballe-periodo-2015-2019
Peru ,Reserva Nacional Tampopata,Tambopata,2e6ce6d5-0a77-43ef-b704-8569c016879f,Plan Maestro 2011 - 2016,Management Plan for Tambopata National Reserve,Plan Maestro de la Reserva Nacional Tambopata  ,http://sis.sernanp.gob.pe/biblioteca/?publicacion=395
Peru ,Reserva Comunal Tuntanain,Tuntanain,f1efe420-e686-4009-b5ee-14fca061b8ad,Plan Maestro 2016 - 2020,Management Plan for Tuntanain Communal Reserve,Plan Maestro de la Reserva Comunal Tuntanain  ,http://sis.sernanp.gob.pe/biblioteca/?publicacion=1377
Peru ,Parque Nacional Tingo María,Tingo María,d5081a46-f05d-4662-b05d-299c5f5de28f,Plan Maestro 2017 - 2021,Management Plan for Tingo María National Park,Plan Maestro del Parque Nacional Tingo María  ,http://sis.sernanp.gob.pe/biblioteca/?publicacion=1527
Peru ,Reserva Nacional del Titicaca,del Titicaca,19b5835d-a588-4b7f-b60c-01279e483401,Plan Maestro 2014 - 2019,Management Plan for del Titicaca National Reserve,Plan Maestro de la Reserva Nacional del Titicaca  ,http://sinia.minam.gob.pe/normas/actualizacion-plan-maestro-reserva-nacional-titicaca-periodo-2014-2019
Peru ,Reserva Nacional de Tumbes,de Tumbes,a343f3b7-2881-44e8-b0ab-a57d02d5292b,Plan Maestro 2012 - 2017,Management Plan for Tumbes National Reserve,Plan Maestro de la Reserva Nacional de Tumbes  ,http://sis.sernanp.gob.pe/biblioteca/?publicacion=400
Peru ,Parque Nacional Yanachaga-Chemillén,Yanachaga-Chemillén,9b42de41-e826-4c50-9441-cb4bc711a610,Plan Maestro 2015 - 2019,Management Plan for Yanachaga-Chemillén National Park,Plan Maestro del Parque Nacional Yanachaga-Chemillén  ,http://sinia.minam.gob.pe/documentos/plan-maestro-2015-2019-parque-nacional-yanachaga-chemillen
Peru ,Reserva Communal Yanesha,Yanesha,6df16cad-2e68-40db-ac01-e289b7d204a2,Plan Maestro 2017 - 2021,Management Plan for Yanesha Communal Reserve,Plan Maestro de la Reserva Communal Yanesha  ,http://sis.sernanp.gob.pe/biblioteca/?publicacion=1522
Ecuador,Área Nacional de Recreación El Boliche,El Boliche,cd3208ea-9702-4222-bb8c-5914de8bf5d5,Plan de Manejo 2007,Management Plan for El Boliche National Recreation Area,Plan de Manejo del Área Nacional de Recreación El Boliche,http://suia.ambiente.gob.ec/documents/10179/242256/32+PLAN+DE+MANEJO+BOLICHE+ANR+El+Boliche.pdf/4a553f3b-8563-4f93-b8fd-2da6ab50fc1b
Ecuador,Área Nacional de Recreación Isla Santay,Isla Santay,371e10d2-9d94-4786-b871-50544e0e1886,Plan de Manejo 2011,Management Plan for Isla Santay National Recreation Area,Plan de Manejo del Área Nacional de Recreación Isla Santay,http://suia.ambiente.gob.ec/documents/10179/242256/19+PLAN+DE+MANEJO+ISLA+SANTAY+ANR+Isla+Santay.pdf/a13669f7-b6e6-4592-93c6-c339f48b00ea
Ecuador,Refugio de Vida Silvestre Pasochoa,Pasochoa,59b5a610-740c-41ad-affb-ef4653f1cc54,Plan de Manejo 1990,Management Plan for Pasochoa Wildlife Refuge,Plan de Manejo del Refugio de Vida Silvestre Pasochoa,http://suia.ambiente.gob.ec/documents/10179/242256/29+PLAN+DE+MANEJO+PASOCHOA+RVS+Pasochoa.pdf/637bb158-b2ed-4b75-8743-d6a03cfcc3ce
Ecuador,Parque Nacional Cajas,Cajas,ad18dc19-a8a5-4be2-813b-b2ae12d27e6f,Plan de Manejo 2018   ,Management Plan for Cajas National Park,Plan de Manejo del Parque Nacional Cajas,http://www.ambiente.gob.ec/wp-content/uploads/downloads/2018/03/ACUERDO-001-ANEXO-PAQUE-NACIONAL-CAJAS.pdf
Ecuador,Parque Nacional Cayambe-Coca,Cayambe Coca,ffc1cc77-c53c-4b2b-92f4-e0ebdd898d7d,Plan de Manejo,Management Plan for Cayambe-Coca National Park,Plan de Manejo del Parque Nacional Cayambe-Coca,http://suia.ambiente.gob.ec/documents/10179/242256/27+PLAN+DE+MANEJO+CAYAMBE+COCA++2009.pdf/0395923b-3c17-4993-905a-c6a05a0e9225
Ecuador,Parque Nacional Cotopaxi,Cotopaxi,049074f1-88ea-44f9-b379-557acc4ef817,Plan de Manejo 2010 (1),Management Plan for Cotopaxi National Park - Part 1,Plan de Manejo del Parque Nacional Cotopaxi - Parte 1,http://suia.ambiente.gob.ec/documents/10179/242256/31+PLAN+DE+MANEJO+COTOPAXI+1.pdf/ada6530d-ec2f-41b0-ba83-4b1391ad3445
Ecuador,Parque Nacional Cotopaxi,Cotopaxi,049074f1-88ea-44f9-b379-557acc4ef817,Plan de Manejo 2010 (2),Management Plan for Cotopaxi National Park - Part 2,Plan de Manejo del Parque Nacional Cotopaxi - Parte 2,http://suia.ambiente.gob.ec/documents/10179/242256/31+PLAN+DE+MANEJO+COTOPAXI+2.pdf/04869ae6-1b44-4b95-88c8-11e5c1b79ca2
Ecuador,Parque Nacional Cotopaxi,Cotopaxi,049074f1-88ea-44f9-b379-557acc4ef817,Plan de Manejo 2010 (3),Management Plan for Cotopaxi National Park - Part 3,Plan de Manejo del Parque Nacional Cotopaxi - Parte 3,http://suia.ambiente.gob.ec/documents/10179/242256/31+PLAN+DE+MANEJO+COTOPAXI+3.pdf/9de2bd76-135a-4385-8d34-5069435372fa
Ecuador,Parque Nacional Cotopaxi,Cotopaxi,049074f1-88ea-44f9-b379-557acc4ef817,Plan de Manejo 2010 (4),Management Plan for Cotopaxi National Park - Part 4,Plan de Manejo del Parque Nacional Cotopaxi - Parte 4,http://suia.ambiente.gob.ec/documents/10179/242256/31+PLAN+DE+MANEJO+COTOPAXI+4.pdf/1eae2834-3ad4-4648-9255-4fa0563f3b86
Ecuador,Parque Nacional Cotopaxi,Cotopaxi,049074f1-88ea-44f9-b379-557acc4ef817,Plan de Manejo 2010 (5),Management Plan for Cotopaxi National Park - Part 5,Plan de Manejo del Parque Nacional Cotopaxi - Parte 5,http://suia.ambiente.gob.ec/documents/10179/242256/31+PLAN+DE+MANEJO+COTOPAXI+5.pdf/efc473ba-e014-4b1c-8ef4-469da6fa374e
Ecuador,Parque Nacional Cotopaxi,Cotopaxi,049074f1-88ea-44f9-b379-557acc4ef817,Plan de Manejo 2010 (6),Management Plan for Cotopaxi National Park - Part 6,Plan de Manejo del Parque Nacional Cotopaxi - Parte 6,http://suia.ambiente.gob.ec/documents/10179/242256/31+PLAN+DE+MANEJO+COTOPAXI+6.pdf/d1bc6e1e-0e71-4fad-99c9-a477d277463c
Ecuador,Parque Nacional Cotopaxi,Cotopaxi,049074f1-88ea-44f9-b379-557acc4ef817,Plan de Manejo 2010 (7),Management Plan for Cotopaxi National Park - Part 7,Plan de Manejo del Parque Nacional Cotopaxi - Parte 7,http://suia.ambiente.gob.ec/documents/10179/242256/31+PLAN+DE+MANEJO+COTOPAXI+7.pdf/7dad69de-cc61-4389-9e21-bb00ad9950d9
Ecuador,Parque Nacional Cotopaxi,Cotopaxi,049074f1-88ea-44f9-b379-557acc4ef817,Plan de Manejo 2010 (8),Management Plan for Cotopaxi National Park - Part 8,Plan de Manejo del Parque Nacional Cotopaxi - Parte 8,http://suia.ambiente.gob.ec/documents/10179/242256/31+PLAN+DE+MANEJO+COTOPAXI+8.pdf/478902d5-6d25-456d-be4f-5b0294444f3a
Ecuador,Parque Nacional Galápagos,Galápagos,f2dc005f-e7f2-445e-bf06-5b3dff80e60b,Plan de Manejo 2014,Management Plan for Galápagos National Park,Plan de Manejo del Parque Nacional Galápagos,http://www.galapagos.gob.ec/wp-content/uploads/downloads/2016/07/DPNG_Plan_de_Manejo_2014.pdf
Ecuador,Parque Nacional Llanganates,Llanganates,4ed33eca-5ce4-4620-b4ac-e7f1a71d027b,Plan de Manejo 2013,Management Plan for Llanganates National Park,Plan de Manejo del Parque Nacional Llanganates,http://suia.ambiente.gob.ec/documents/10179/242256/34+PLAN+DE+MANEJO+LLANGANATES.pdf/e19b71d9-3727-47dc-94be-6e1e63292754
Ecuador,Parque Nacional Machalilla,Machalilla,3588c68f-9d3e-47be-8389-626623472729,Plan de Manejo 1998 (1),Management Plan for Machalilla National Park - Cover,Plan de Manejo del Parque Nacional Machalilla - Carátula,http://suia.ambiente.gob.ec/documents/10179/242256/12+PLAN+MANEJO+MACHALILLA+0_Caratula.pdf/bdd2c8a8-c01c-4005-aea2-a33c95fa673c
Ecuador,Parque Nacional Machalilla,Machalilla,3588c68f-9d3e-47be-8389-626623472729,Plan de Manejo 1998 (2),Management Plan for Machalilla National Park - Participants,Plan de Manejo del Parque Nacional Machalilla - Participan,http://suia.ambiente.gob.ec/documents/10179/242256/12+PLAN+MANEJO+MACHALILLA+1_Participan.pdf/398c532c-2661-42c3-9362-5480d0fe176f
Ecuador,Parque Nacional Machalilla,Machalilla,3588c68f-9d3e-47be-8389-626623472729,Plan de Manejo 1998 (3),Management Plan for Machalilla National Park - Index,Plan de Manejo del Parque Nacional Machalilla - Indice,http://suia.ambiente.gob.ec/documents/10179/242256/12+PLAN+MANEJO+MACHALILLA+3_Indice.pdf/9befb467-3aea-425f-90db-4ff3fa9d57ac
Ecuador,Parque Nacional Machalilla,Machalilla,3588c68f-9d3e-47be-8389-626623472729,Plan de Manejo 1998 (4),Management Plan for Machalilla National Park - Chapter 1,Plan de Manejo del Parque Nacional Machalilla - Capítulo 1,http://suia.ambiente.gob.ec/documents/10179/242256/12+PLAN+MANEJO+MACHALILLA+4_Pnmcap1.pdf/1c91bfa4-78ad-4c67-af38-e7d91e2642cc
Ecuador,Parque Nacional Machalilla,Machalilla,3588c68f-9d3e-47be-8389-626623472729,Plan de Manejo 1998 (5),Management Plan for Machalilla National Park - Chapter 2 and 3 ,Plan de Manejo del Parque Nacional Machalilla - Capítulo 2 y 3,http://suia.ambiente.gob.ec/documents/10179/242256/12+PLAN+MANEJO+MACHALILLA+5_Pnmcap23.pdf/ba02d3eb-17e6-4dc1-aaf3-d4c5a54b2c65
Ecuador,Parque Nacional Machalilla,Machalilla,3588c68f-9d3e-47be-8389-626623472729,Plan de Manejo 1998 (6),Management Plan for Machalilla National Park - Chapter 4,Plan de Manejo del Parque Nacional Machalilla - Capítulo 4,http://suia.ambiente.gob.ec/documents/10179/242256/12+PLAN+MANEJO+MACHALILLA+6_Pnmcap4.pdf/236ebb20-b78d-4632-b52d-db7dba8fee2e
Ecuador,Parque Nacional Machalilla,Machalilla,3588c68f-9d3e-47be-8389-626623472729,Plan de Manejo 1998 (7),Management Plan for Machalilla National Park - Chapter 5,Plan de Manejo del Parque Nacional Machalilla - Capítulo 5,http://suia.ambiente.gob.ec/documents/10179/242256/12+PLAN+MANEJO+MACHALILLA+7_Pnmcap5.pdf/3b55c791-a0b8-4da2-8d03-2ae44cf0b70e
Ecuador,Parque Nacional Podocarpus,Podocarpus,573dc859-4ff0-4a14-9ab6-231daa7da166,Plan de Manejo 2014,Management Plan for Podocarpus National Park,Plan de Manejo del Parque Nacional Podocarpus,http://maetransparente.ambiente.gob.ec/documentacion/Biodiversidad/Plan%20de%20Manejo%20Podocarpus%2017abril2014%20FIN.pdf
Ecuador,Parque Nacional Sumaco Napo-Galeras,Sumaco Napo-Galeras,c506742a-0b0f-4a3f-86fd-ea8a48c68232,Plan de Manejo 2013,Management Plan for Sumaco Napo-Galeras National Park,Plan de Manejo del Parque Nacional Sumaco Napo-Galeras,http://suia.ambiente.gob.ec/documents/10179/242256/42+PLAN+DE+MANEJO+SUMACO.pdf/477bfee3-341c-4efa-86c0-0689734994f0
Ecuador,Parque Nacional Yasuní,Yasuní,e479fdc8-0baa-40a5-9d11-fd542a6c9e0a,Plan de Manejo 2011,Management Plan for Yasuní National Park ,Plan de Manejo del Parque Nacional Yasuní,http://suia.ambiente.gob.ec/documents/10179/242256/45+PLAN+DE+MANEJO+YASUNI.pdf/8da03f55-1880-4704-800e-d5167c80089c
Ecuador,Refugio de Vida Silvestre El Pambilar,El Pambilar,a1ad64f3-16c9-410e-9ffc-8dffe9513317,Plan de Manejo 2011,Management Plan for El Pambilar Wildlife Refuge,Plan de Manejo del Refugio de Vida Silvestre El Pambilar,http://suia.ambiente.gob.ec/documents/10179/242256/08+PLAN+DE+MANEJO+EL+PAMBILAR.pdf/9dd9dd44-d76a-46bb-94e2-2ccc2a5f5537
